tweet_id,timestamp,text,name,dog_stage,rating,jpg_url,dog_breed,favorite_count,retweet_count
892420643555336193,2017-08-01,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,13.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,nan,35719,7550
892177421306343426,2017-08-01,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,13.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,30864,5596
891815181378084864,2017-07-31,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,12.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,23211,3705
891689557279858688,2017-07-30,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,13.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,labrador retriever,39011,7730
891327558926688256,2017-07-29,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,12.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,37261,8333
891087950875897856,2017-07-29,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,13.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,18786,2794
890971913173991426,2017-07-28,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,13.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,10915,1816
890729181411237888,2017-07-28,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,13.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,60193,16892
890609185150312448,2017-07-27,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,13.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,25841,3848
890240255349198849,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,14.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,29505,6571
890006608113172480,2017-07-26,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,13.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,28426,6561
889880896479866881,2017-07-25,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,13.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog,25861,4466
889665388333682689,2017-07-25,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,puppo,13.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,44487,8959
889638837579907072,2017-07-25,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,,12.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog,25037,4004
889531135344209921,2017-07-24,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,puppo,13.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,14052,2022
889278841981685760,2017-07-24,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,,13.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,23339,4775
888917238123831296,2017-07-23,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,,12.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,26955,4020
888804989199671297,2017-07-22,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,,13.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,23649,3791
888554962724278272,2017-07-22,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,,13.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky,18256,3100
888078434458587136,2017-07-20,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,,12.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,french bulldog,20180,3111
887705289381826560,2017-07-19,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Jeffrey,,13.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,28045,4837
887517139158093824,2017-07-19,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,NaN,,14.0,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,nan,42949,10562
887473957103951883,2017-07-19,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,,13.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,pembroke,63633,16115
887343217045368832,2017-07-18,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,,,13.0,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,mexican hairless,31181,9400
887101392804085760,2017-07-18,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,,,12.0,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,samoyed,28385,5346
886983233522544640,2017-07-17,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Maya,,13.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,chihuahua,32301,6854
886736880519319552,2017-07-16,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Mingus,,13.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,11083,2866
886680336477933568,2017-07-16,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Derek,,13.0,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,nan,20832,4010
886366144734445568,2017-07-15,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,pupper,12.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,french bulldog,19567,2836
886258384151887873,2017-07-15,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Waffles,,13.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,25920,5659
885984800019947520,2017-07-14,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Jimbo,,12.0,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,blenheim spaniel,30179,6022
885528943205470208,2017-07-13,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Maisey,,13.0,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug,33300,5726
885167619883638784,2017-07-12,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,,,13.0,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,malamute,20270,3911
884925521741709313,2017-07-12,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",Earl,,12.0,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,italian greyhound,71310,16159
884876753390489601,2017-07-11,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,Lola,,13.0,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow,25764,4995
884562892145688576,2017-07-11,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,Kevin,,13.0,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug,22523,4212
884441805382717440,2017-07-10,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",,,14.0,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,pembroke,25099,5103
884162670584377345,2017-07-09,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,Yogi,doggo,12.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,german shepherd,18914,2680
883838122936631299,2017-07-09,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,Noah,,12.0,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,doberman,20233,3073
